Car_BC::sub_4417D0,0x4417d0,0x17
Car_BC::sub_4417F0,0x4417f0,0x8
Car_BC::sub_441800,0x441800,0x96
Car_BC::sub_4418A0,0x4418a0,0xd
Car_BC::sub_4418B0,0x4418b0,0x15
Car_BC::sub_4418D0,0x4418d0,0x8c
nullsub_97,0x441990,0x1
nullsub_98,0x4419d0,0x1
Car_BC::sub_4419E0,0x4419e0,0x24
Car_BC::sub_441A10,0x441a10,0x26
Car_BC::sub_441A40,0x441a40,0x21
Car_BC::sub_441A70,0x441a70,0x8c
Car_BC::sub_441B00,0x441b00,0x20
Car_BC::sub_441B20,0x441b20,0x24
Car_BC::sub_441B50,0x441b50,0xa1
Car_BC::sub_441C00,0x441c00,0x132
Car_BC::sub_441D40,0x441d40,0x12b
Car_BC::sub_441E70,0x441e70,0x2f4
Car_BC::sub_442170,0x442170,0x20
Car_BC::sub_442190,0x442190,0x1f
Car_BC::sub_4421B0,0x4421b0,0x1f
Car_BC::sub_442200,0x442200,0x68
Car_BC::sub_442310,0x442310,0x12c
Car_BC::sub_4424C0,0x4424c0,0x4d
Car_BC::sub_442520,0x442520,0xa9
Car_BC::sub_4425D0,0x4425d0,0xf6
Car_BC::sub_4426D0,0x4426d0,0x47
Car_BC::sub_442760,0x442760,0x3b
Car_BC::sub_4427A0,0x4427a0,0x64
Car_BC::sub_442810,0x442810,0x2b1
Fix16::sub_442AD0,0x442ad0,0x1ad
sub_442C80,0x442c80,0x27
sub_442CB0,0x442cb0,0x5c
sub_442D10,0x442d10,0x55
Car_BC::sub_442D70,0x442d70,0x3a1
Car_BC::sub_443130,0x443130,0x35
Car_BC::sub_443170,0x443170,0x1b5
Car_BC::sub_443330,0x443330,0x2e
Car_BC::sub_443360,0x443360,0x205
sub_443580,0x443580,0x1c
Car_BC::sub_4435A0,0x4435a0,0x5
sub_4435B0,0x4435b0,0x3b
Car_BC::sub_4435F0,0x4435f0,0x83
Car_BC::sub_443710,0x443710,0x1a9
Car_BC:sub_4438C0,0x4438c0,0x178
sub_443A50,0x443a50,0x44
sub_443AB0,0x443ab0,0x29
Car_BC::sub_443AE0,0x443ae0,0xe4
Car_BC::sub_443BD0,0x443bd0,0x66
Car_BC::sub_443C40,0x443c40,0x63
sub_443CB0,0x443cb0,0x3a
Car_BC::sub_443D00,0x443d00,0x65
Car_BC::sub_443D70,0x443d70,0x28
Car_BC::sub_443DA0,0x443da0,0x7a
Car_BC::sub_443E50,0x443e50,0x2c
sub_443E80,0x443e80,0x2c
Car_BC::sub_443EB0,0x443eb0,0x25
sub_443EE0,0x443ee0,0x25
Car_BC::sub_443F30,0x443f30,0x77
Car_BC::sub_444020,0x444020,0x20
sub_444090,0x444090,0x42
Car_BC::sub_4441B0,0x4441b0,0x165
Car_BC::sub_444490,0x444490,0xd1
Car_BC::sub_4446E0,0x4446e0,0x40
Car_BC::sub_4447D0,0x4447d0,0x84
Car_BC::ctor_444860,0x444860,0xf3
Car_BC::dtor_444960,0x444960,0x1e
Car_6C::sub_444980,0x444980,0x12e
Car_6C::sub_444AB0,0x444ab0,0x224
sub_444CE0,0x444ce0,0x5
Car_6C::sub_444CF0,0x444cf0,0x14f
sub_444E40,0x444e40,0x133
Car_6C::sub_444F80,0x444f80,0x20
Car_6C::sub_444FA0,0x444fa0,0x20
sub_444FC0,0x444fc0,0x214
sub_4451E0,0x4451e0,0x30
sub_445210,0x445210,0x146
sub_445360,0x445360,0x76
sub_4453E0,0x4453e0,0x4ac
Car_6C::sub_4458B0,0x4458b0,0x5e0
sub_445EC0,0x445ec0,0x2f3
Car_6C::sub_446230,0x446230,0x2fd
Car_6C::sub_446530,0x446530,0x184
Car_6C::sub_4466C0,0x4466c0,0x47
sub_446730,0x446730,0x2e
Car_6C::sub_446760,0x446760,0x2c
Car_6C::sub_446790,0x446790,0xd1
Car_6C::sub_446870,0x446870,0x97
Car_6C::sub_446930,0x446930,0x97
Car_6C::ctor_4469F0,0x4469f0,0x3d0
Car_6C::dtor_446DC0,0x446dc0,0x11b
Car_B0::dtor_446EE0,0x446ee0,0x43
sub_447010,0x447010,0x1c
nullsub_99,0x447170,0x1
nullsub_100,0x447200,0x1
nullsub_101,0x447250,0x1
Car_10::ctor_447330,0x447330,0x17
Car_10::dtor_447350,0x447350,0x8
Car_BC::sub_447360,0x447360,0xa5
sub_447640,0x447640,0xa
sub_447650,0x447650,0x92
Car_78::sub_4476F0,0x4476f0,0x17
Car_78::sub_447710,0x447710,0x250
Car_78::sub_447970,0x447970,0x317
Car_78::sub_447CA0,0x447ca0,0x95
Car_78::sub_447D40,0x447d40,0x515
Car_78::sub_448270,0x448270,0x3a
Car_78::sub_4482C0,0x4482c0,0x490
Car_78::sub_448770,0x448770,0x559
Car_78::sub_448CE0,0x448ce0,0xd23
Car_78::sub_44A1F0,0x44a1f0,0x82d
Car_78::sub_44AF00,0x44af00,0xb31
Car_78::sub_44D1D0,0x44d1d0,0xd65
Car_78::sub_44E0C0,0x44e0c0,0x472
Fix16::sub_44E540,0x44e540,0x1e
Car_78::sub_44E560,0x44e560,0x303c
Fix16::sub_451670,0x451670,0x16
Fix16::sub_451690,0x451690,0x16
Fix16::sub_4516B0,0x4516b0,0x34
sub_4516F0,0x4516f0,0x34
sub_451730,0x451730,0x4b
nullsub_102,0x4517b0,0x1
nullsub_103,0x4517f0,0x1
Car_3C::sub_451950,0x451950,0x30
Car_78::sub_451980,0x451980,0x5d7
Car_78::sub_451FA0,0x451fa0,0x4d
Car_78::sub_451FF0,0x451ff0,0x6d
Car_78::sub_452060,0x452060,0x901
Map_0x370::get_block_452980,0x452980,0x5d
Car_78::sub_452A20,0x452a20,0x3ca
Car_78::sub_452DF0,0x452df0,0x3d4
Car_78::sub_453470,0x453470,0x111
Car_78::sub_453590,0x453590,0x98
Car_78::sub_4537D0,0x4537d0,0x56
Car_78::sub_4538B0,0x4538b0,0x21
Car_78::sub_453990,0x453990,0x11
Car_78::sub_4539B0,0x4539b0,0x1b
Car_78::sub_4539D0,0x4539d0,0x70
Car_78::sub_453A40,0x453a40,0x156
